time,dpt,mtw,awa,aws,cog,hdg,rot,sog,stw,pitch,yaw,roll,lng,lat,tws,twa,twd,vmg,dist,cum_dist
2025-09-05T17:03:37+03:00,,287.15,41.99780638308934,17.496,359.3705882619549,340.60049089346916,-0.6999825383113268,6.62904,6.492959999999999,-0.29793805346802804,160.89800802863775,-17.200193009827313,24.78253,59.479882,13.329136077267796,61.434651741553694,60.80524000350857,3.169746922165075,0.0036127874022655946,0.0036127874022655946
2025-09-05T17:03:39+03:00,,287.15,43.000482524568284,17.107200000000002,0.9969465635276323,338.49773578533905,0.6999825383113268,6.78456,6.5124,-0.8021409131831525,158.6978500953354,-19.297218540006124,24.782533,59.479943,12.996884278537323,63.85621666886337,64.853163232391,2.9894486567458585,0.0036677141050566542,0.007280501507322248
2025-09-05T17:03:41+03:00,,287.15,43.000482524568284,17.496,0.2119943841984046,338.19979773187106,-0.2000195662801704,7.03728,6.62904,0.6990085100596044,157.09929784692042,-19.19981571483389,24.782533,59.480008,13.249150420465257,64.23870061163268,64.45069499583109,3.0585628800883984,0.003907001566108088,0.011187503073430336
2025-09-05T17:03:43+03:00,,287.15,43.99742908809592,17.398799999999998,358.9981656951199,337.2028511683434,2.199986045963822,6.78456,6.7068,0.20053522829578813,157.50036830351198,-18.90187766136586,24.782533,59.480072,13.375903323964351,64.62732555343833,63.625491248558205,2.9072128973532743,0.0038468938509887743,0.015034396924419111
2025-09-05T17:03:45+03:00,,287.15,43.000482524568284,17.496,1.9996227050065731,340.19942043687763,1.2999839413723246,6.82344,6.6679200000000005,-0.6016056848873644,161.00114043176134,-19.19981571483389,24.782542,59.480133,13.343480056752142,63.41171959893269,65.41134230393926,3.0540092312805465,0.00367684842124634,0.01871124534566545
2025-09-05T17:03:47+03:00,,287.15,41.99780638308934,18.00144,6.858304807715954,342.60011359847573,-0.2000195662801704,6.940079999999999,6.78456,0.49847328176381617,162.19862222358475,-19.698288996597704,24.782555,59.480193,13.657446853746206,61.87508437743192,68.73338918514787,3.271522051714456,0.0036282288128557413,0.02233947415852119
2025-09-05T17:03:49+03:00,,287.15,41.99780638308934,17.496,5.998868115019719,341.7005698601203,-0.3999818367808277,6.804,6.804,0.29793805346802804,161.6027461166487,-18.90187766136586,24.782568,59.480257,13.246368367209278,62.09931781465967,68.09818592967939,3.183866050750932,0.0038673066567707936,0.026206780815291986
2025-09-05T17:03:51+03:00,,287.15,41.00085981956171,17.3016,6.995814678547352,341.5974374569968,0.600001403060998,6.454079999999999,6.7068,-0.29793805346802804,162.39915745188054,-20.09935945318928,24.782575,59.480317,13.132099796596481,59.811485026629356,66.8072997051767,3.245412773512515,0.0036127872387460933,0.029819568054038077
2025-09-05T17:03:53+03:00,,287.15,41.00085981956171,17.496,7.608879519337332,339.50041192681795,1.200002806121996,6.9984,6.648479999999999,-0.09740282517223994,159.5973938336908,-22.2021145613194,24.782583,59.480379,13.048781561027107,61.602445118046504,69.21132463738384,3.3283457465496054,0.0037346706185847106,0.03355423867262279
2025-09-05T17:03:55+03:00,,287.15,39.998183678082775,17.80704,8.995437383553925,339.9988852085818,-2.400005612243992,6.7068,6.648479999999999,-0.49847328176381617,159.90106146511013,-23.30219352797058,24.782592,59.480438,13.382535978609928,58.789829641356306,67.78526702491023,3.4753218019172727,0.0035569801700551826,0.03711121884267797
2025-09-05T17:03:57+03:00,,287.15,46.00278137105379,16.893359999999998,3.9992454100131463,333.39841140867475,-3.9999902551468165,6.82344,6.59016,-0.29793805346802804,151.5015001884923,-22.797990668255455,24.782672,59.480424,13.107452253486455,67.9955401372984,71.99478554731155,2.556598062783171,0.0025828988569286636,0.03969411769960664
2025-09-05T17:03:59+03:00,,287.15,54.00127219108009,16.50456,351.9966214386213,327.697481347123,-3.30000771683549,7.29,6.5124,0.20053522829578813,146.49957863700018,-21.801044104727822,24.782661,59.48049,13.568579385373697,79.76545055832416,71.76207199694545,1.295273928761552,0.003981293536653907,0.04367541123626054
2025-09-05T17:04:01+03:00,,287.15,60.0001403060998,16.50456,347.9973760286081,322.90182460187805,0.2000195662801704,6.9984,6.47352,-0.09740282517223994,142.99880650875087,-21.10203559466822,24.782637,59.480553,14.348277965004156,84.98673112812045,72.98410715672856,0.6115652942945738,0.0038569984589139554,0.0475324096951745
2025-09-05T17:04:09+03:00,,287.15,58.99746416462087,17.107200000000002,344.9950771821226,321.40067517863525,0.0,7.63992,6.940079999999999,-1.501149423242757,141.19971903204006,-21.697911701604276,24.782503,59.480821,14.710072460511062,85.43182131386567,70.42689849598827,0.6084838293003244,0.003918470194911066,0.051450879890085566
2025-09-05T17:04:13+03:00,,287.15,61.99976301110639,17.3016,339.9988852085818,321.10273712516727,-1.8000042091829944,7.23168,6.97896,0.20053522829578813,140.59811334715272,-18.79874525824231,24.782428,59.480954,15.302333920850506,86.66201295423218,66.66089816281396,0.42107117708459346,0.004066964042310326,0.055517843932395894
2025-09-05T17:04:15+03:00,,287.15,65.0020618575919,16.50456,342.99545447711597,319.2979200705052,1.5999846429028237,6.97896,6.92064,-0.8995437383553924,139.80170201192087,-18.79874525824231,24.782387,59.481017,14.958462886604483,90.01673789289445,73.01219237001044,-0.0020387729135702194,0.003988229886155058,0.05950607381855095
2025-09-05T17:04:21+03:00,,287.15,67.00168456259847,16.19352,338.9962090671029,320.19746380886056,0.8000209693411684,7.5816,6.88176,-0.20053522829578813,140.3001752936847,-18.397674801650734,24.782246,59.481208,14.959113993972787,94.81145230171478,73.80766136881766,-0.6359220225856348,0.0012572428585231217,0.06076331667707407
