time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist
2024-06-19 16:02:54+00:00,59.47341090068221,24.74369172938168,5.474376941809136,315.30982470407645,296.0,28.0,17.9,-1.0,22.0,5.8,39.12759597558991,13.316769673439037,276.1822287284865,4.246707172128842,0.0015206602616136488,3.017912608281043
2024-06-19 16:02:55+00:00,59.47342841885984,24.743653759360313,5.631638940750776,312.1998763267504,296.0,29.0,17.5,-1.0,22.0,5.8,41.250393201626764,12.867454026394709,270.94948312512366,4.234064854481869,0.0015643441502085488,3.0194332685426564
2024-06-19 16:03:04+00:00,59.473609551787376,24.74335804581642,5.651230298035349,320.2841336571343,293.0,25.0,19.7,-1.0,21.8,5.9,34.303956889072424,14.772585937432396,285.9801767680619,4.668251767967523,0.014128075745088373,3.020997612692865
2024-06-19 16:03:10+00:00,59.47371088899672,24.743128130212426,5.570073264537304,310.900527862149,291.0,26.0,19.6,-1.0,21.2,5.9,35.49854764888042,14.796514711841928,275.40198021326853,4.534765072160254,0.009283455440895507,3.035125688437953
2024-06-19 16:03:19+00:00,59.47387743741274,24.742849096655846,5.2521341165438375,319.5537048985756,295.0,26.0,21.8,-1.0,21.1,5.9,33.677454258077944,17.233900459793155,285.87625064049763,4.370680987604639,0.013130335291359594,3.0444091438788488
2024-06-19 16:03:20+00:00,59.47389654815197,24.742819340899587,5.266379378930072,321.61260042272795,295.0,28.0,21.9,-1.0,21.1,5.9,36.15653372898302,17.42634532398577,285.4560666937449,4.252117530415248,0.001462883160813909,3.057539479170208
2024-06-19 16:03:25+00:00,59.47399268858135,24.742657989263535,5.461211028252717,319.5048340859026,295.0,28.0,21.3,-1.0,20.7,5.9,36.84396387919483,16.676306440384806,282.6608702067077,4.37045151851706,0.007585015317017663,3.059002362331022
2024-06-19 16:03:30+00:00,59.47408706881106,24.74248046055436,5.642792864727025,316.25663512008447,291.0,28.0,22.2,-1.0,20.9,6.0,36.74698269679328,17.420316259451493,279.5096524232912,4.521487088990308,0.007837212312120869,3.0665873776480397
2024-06-19 16:03:44+00:00,59.47437046095729,24.742008978500962,5.728279416893561,319.7519516731561,296.0,30.0,20.6,-1.0,20.0,5.9,40.378080642163724,15.89926924999343,279.3738710309924,4.363724208213667,0.022276642176808293,3.0744245899601608
2024-06-19 16:03:50+00:00,59.4745010510087,24.741814685985446,5.896622729632761,322.87422147585437,293.0,28.0,21.0,-1.0,20.5,6.0,37.941796900924004,16.034368965453847,284.93242457493034,4.650287535024544,0.009827704549387936,3.096701232136969
2024-06-19 16:03:51+00:00,59.47452183812857,24.741779817268252,5.9026796961600505,319.5199575626391,291.0,28.0,20.9,-1.0,20.5,6.0,38.01728312196374,15.93110768707982,281.5026744406754,4.65027866164545,0.0016396332489333474,3.106528936686357
2024-06-19 16:03:53+00:00,59.47456123307347,24.74171770736575,5.454389357444162,321.2641847590088,293.0,27.0,20.6,-1.0,20.5,5.8,35.940522726512114,15.933694717208896,285.3236620324967,4.416019382001828,0.003030216309691201,3.10816856993529
