time,dpt,wtmp,awa,aws,cog,hdg,rot,sog,stw,pitch,yaw,roll,lng,lat,dist,tws,twa,twd,vmg,cum_dist
2024-08-14T18:25:00+03:00,18.5,17.5,-140.9983243670516,8.203679999999999,77.24044036158628,61.30075450104678,0.0,4.87944,0.0,-1.598552248414997,-120.0002806121996,1.501149423242757,24.807164,59.474893,0.0035436886484376713,12.382453086792385,155.35748789195142,281.88295246963486,-4.435054703940985,3.174668758080655
2024-08-14T18:25:01+03:00,18.5,17.5,-138.00175509851738,8.49528,81.96161259346427,60.60174599098718,0.0,5.326560000000001,0.0,0.8021409131831525,-119.30127210214,6.89841185337511,24.807209,59.474892,0.001375149166656863,12.95374096009263,153.97188606553277,287.9897265279315,-4.786334094467442,3.176043907247312
2024-08-14T18:25:02+03:00,18.5,17.5,-138.00175509851738,8.49528,77.85923478032757,66.40007887771111,3.9999902551468165,4.957199999999999,0.0,1.1974817918234204,-112.40286024876491,5.901465289847479,24.807257,59.47489,0.0014703465860290345,12.622882486507814,153.23617972586598,284.6230550544616,-4.426136896593239,3.177514253833341
2024-08-14T18:25:03+03:00,18.5,17.5,-138.00175509851738,7.503839999999999,73.9115555718762,69.40237772419663,2.1000049107134933,4.510079999999999,0.0,-1.3980170201192088,-110.00216708716675,-1.0026761414789407,24.807301,59.474899,0.0014481424817910519,11.267218091254987,153.53709797140144,280.3744576004748,-4.037527703813603,3.178962396315132
2024-08-14T18:25:04+03:00,18.5,17.5,-140.00137780352395,7.503839999999999,77.76183195515533,63.901982890940715,0.0,4.510079999999999,0.0,-2.200157933302361,-117.39905222230568,-0.20053522829578813,24.80734,59.474913,0.0014580118268769262,11.335777088620446,154.81844373809577,282.9433882170596,-4.081460333080413,3.180420408142009
2024-08-14T18:25:05+03:00,18.4,17.5,-140.00137780352395,7.503839999999999,80.75840122368953,59.70220225263178,0.0,4.723920000000001,0.0,-1.1000789666511805,-120.99722717572726,7.0015442564986605,24.807381,59.474912,0.0012531578514958536,11.529653619776674,155.27059853657116,285.48780268711835,-4.290706437317318,3.181673565993505
2024-08-14T18:25:06+03:00,18.4,17.5,-144.99756977706474,8.00928,78.90201796746567,60.49861358786363,0.9000021045914972,4.996079999999999,0.0,0.0,-119.30127210214,7.9984908200262925,24.807426,59.47491,0.0013790837451224287,12.43640536719914,158.32036807139974,280.5816498960659,-4.6426770556171775,3.1830526497386273
2024-08-14T18:25:07+03:00,18.4,17.5,-144.99756977706474,7.40664,76.07733603747072,65.20259708588767,3.9000091198964877,4.957199999999999,0.0,1.3980170201192088,-113.60034204058832,4.297183463481174,24.80747,59.474916,0.0013908747178128357,11.814510361715609,158.92419274265924,277.15314329481146,-4.625590375360002,3.18444352445644
2024-08-14T18:25:08+03:00,18.4,17.5,-144.99756977706474,7.40664,73.47037806962545,69.09871009277728,2.7999874490248207,4.16016,0.0,-1.1000789666511805,-110.20270231546253,-1.701684651538545,24.807511,59.474924,0.0013409022979785263,11.074497571408331,157.4411614016322,276.02921666799324,-3.8418497564539096,3.1857844267544184
2024-08-14T18:25:09+03:00,18.4,17.5,-142.00100050853052,7.60104,78.42073341955577,67.70069307265807,0.0,4.62672,0.0,-2.200157933302361,-112.90133353052872,-2.4006931615981495,24.807543,59.474925,0.0009787956734561263,11.602087933235824,156.21298067275555,282.2077527468002,-4.233685085505873,3.1867632224278744
2024-08-14T18:25:10+03:00,18.3,17.5,-140.9983243670516,8.10648,81.26260408340465,66.80114933430268,0.3999818367808277,4.996079999999999,0.0,-0.8995437383553924,-113.19927158399673,2.6012283898939375,24.807585,59.474928,0.0012948620232797468,12.394520285443704,155.6937392335059,285.5688648498988,-4.553218998513056,3.188058084451154
2024-08-14T18:25:11+03:00,18.3,17.5,-148.99681518707789,7.892639999999999,84.36803533301372,67.40275501919004,0.2000195662801704,5.5404,0.0,-0.49847328176381617,-112.50026307393715,3.701307356545118,24.807634,59.474929,0.0014971590325318527,12.959644049767231,161.7179004568344,282.6501348761793,-5.260740162439735,3.1895552434836856
2024-08-14T18:25:12+03:00,18.3,17.5,-155.00141288004892,7.095599999999999,88.28133707375724,68.89817486448149,1.5000035076524951,5.26824,0.0,0.20053522829578813,-110.70117559722634,3.3976397251257815,24.807684,59.47493,0.0015276644960013784,12.077277871068947,165.62412276496997,282.6572143087873,-5.103279705433383,3.1910829079796867
2024-08-14T18:25:13+03:00,18.3,17.5,-157.0010355850555,7.095599999999999,78.62126864785156,71.20146520090739,1.1000216708716675,4.89888,0.0,0.29793805346802804,-108.3004824356282,2.4006931615981495,24.807726,59.474929,0.001283652549192379,11.76186466822289,166.36669881267986,272.2545698351717,-4.760849981149761,3.192366560528879
2024-08-14T18:25:14+03:00,18.2,17.5,-157.99798214858313,6.804,72.84012449498155,70.59985951602003,0.0,4.78224,0.0,-0.6990085100596044,-109.69849945574742,2.4006931615981495,24.807764,59.474935,0.0012148900406123494,11.379870943841839,167.05615431867216,265.78397017630937,-4.660723598693301,3.1935814505694915
2024-08-14T18:25:15+03:00,18.1,17.5,-155.99835944357653,6.804,74.39856969773739,72.39894699273083,3.2000265815851607,4.4712,0.0,-1.902219879834333,-107.20040346897702,4.199780638308934,24.807802,59.474941,0.0012148898437676942,11.03943741760338,165.48091608891283,268.91765360882454,-4.328408610061611,3.194796340413259
