time,dpt,mtw,awa,aws,cog,hdg,rot,sog,stw,pitch,yaw,roll,lng,lat,tws,twa,twd,vmg,dist,cum_dist
2024-10-12T12:04:04+03:00,25.8,281.15,24.99814860155782,18.09864,170.70131590332616,159.00151772675477,0.3999818367808277,5.69592,6.006959999999999,-1.501149423242757,-21.49737647330849,-10.599719209920229,24.800213,59.48025,13.158336126799325,35.538524450457714,206.23984035378388,4.634911830871332,0.0014157755441614496,0.0014157755441614496
2024-10-12T12:04:05+03:00,25.4,281.15,26.997771306564392,18.29304,171.66961457709726,157.79830635698005,0.0,5.26824,6.006959999999999,-1.7990874767107847,-24.098604863202425,-10.50231638474799,24.800225,59.480225,13.80760215224613,36.971999310887384,208.64161388798465,4.208952476602911,0.0015466933151481448,0.002962468859309594
2024-10-12T12:04:06+03:00,25.3,281.15,26.997771306564392,17.90424,169.62988482643152,155.2028075450374,0.0,5.307119999999999,6.006959999999999,-2.8017636181897254,-24.99814860155782,-11.201324894807593,24.800235,59.480202,13.39392346283764,37.36010305631814,206.98998788274966,4.218297269966163,0.00141577563768906,0.004378244496998654
2024-10-12T12:04:07+03:00,24.9,281.15,28.997394011570965,17.3016,171.30865116616485,154.89913991361806,0.0,4.91832,6.006959999999999,-1.501149423242757,-24.299140091498213,-12.100868633162985,24.800243,59.480182,13.216667285871674,39.39030553514155,210.6989567013064,3.8010791457077553,0.0012267062323885914,0.005604950729387245
2024-10-12T12:04:08+03:00,24.8,281.15,26.997771306564392,17.496,170.5924539222513,156.29715693373726,0.09998113525032865,5.404319999999999,6.006959999999999,-1.9996227050065731,-23.800666809734395,-11.098192491684046,24.800252,59.480159,12.915762474008298,37.947518060746575,208.53997198299788,4.261708175345325,0.001409509587447879,0.007014460316835124
2024-10-12T12:04:09+03:00,24.8,281.15,28.997394011570965,18.195839999999997,169.25746225959648,156.19975410856503,0.9999832398418258,5.6376,6.006959999999999,-2.2975607584746007,-23.697534406610853,-11.79720100174365,24.80026,59.480133,13.543563289475795,40.63897267410306,209.89643493369954,4.277971405782405,0.0015817645566641564,0.008596224873499281
2024-10-12T12:04:10+03:00,24.8,281.15,30.0000701530499,18.195839999999997,167.24065082073596,155.99921888026924,0.09998113525032865,5.42376,5.90976,-1.501149423242757,-24.797613373262028,-13.298350424986406,24.800271,59.480105,13.76844287146147,41.35954028114389,208.60019110187986,4.070954236069055,0.0017161839855967902,0.01031240885909607
2024-10-12T12:04:11+03:00,24.7,281.15,30.0000701530499,19.303919999999998,168.01987342211393,155.90181605509702,0.5000202678106694,5.1710400000000005,5.90976,-1.7990874767107847,-23.101658299674792,-14.301026566465348,24.800282,59.480079,15.04943412291639,39.892687904790705,207.91256132690464,3.9674649654421175,0.0015984650108371726,0.011910873869933242
2024-10-12T12:04:12+03:00,24.7,281.15,24.99814860155782,18.99288,168.2318678063123,157.09929784692042,0.9000021045914972,5.2488,5.90976,-2.498095986770389,-21.39997364813625,-14.598964619933378,24.800293,59.480057,14.40754433246587,33.85422873246296,202.08609653877525,4.358905746324835,0.0013643337352698633,0.013275207605203105
2024-10-12T12:04:13+03:00,24.7,281.15,26.00082474303676,19.90656,172.98741750589815,158.6978500953354,0.3999818367808277,5.307119999999999,5.90976,-1.7990874767107847,-22.098982158195852,-15.601640761412316,24.800305,59.480034,15.314342680699824,34.739042115249475,207.72645962114763,4.361157360205799,0.0014301817116253626,0.014705389316828467
2024-10-12T12:04:14+03:00,24.8,281.15,26.997771306564392,19.809359999999998,172.3227864635464,157.59777112868423,0.0,5.151599999999999,5.90976,-2.200157933302361,-22.29951738649164,-17.801798694714677,24.800314,59.480009,15.397787843671207,35.733597958497825,208.05638442204423,4.181765974383854,0.0015275994087075044,0.016232988725535972
2024-10-12T12:04:16+03:00,25.0,281.15,24.001202038030186,20.10096,172.1680878588611,159.098920551927,1.5000035076524951,4.87944,5.69592,-4.297183463481174,-19.19981571483389,-23.898069634906637,24.800326,59.479965,15.768814635962482,31.231908482620724,203.39999634148182,4.172290252070172,0.0026699856474287913,0.018902974372964763
2024-10-12T12:04:17+03:00,25.2,281.15,24.001202038030186,20.606399999999997,173.9213387119614,161.6027461166487,2.7000063137744914,4.97664,5.69592,-2.4006931615981495,-15.29797312999298,-25.10128100468137,24.800333,59.479939,16.18712711398538,31.18511990639101,205.1064586183524,4.257509380617438,0.0015773405083594606,0.020480314881324225
2024-10-12T12:04:18+03:00,25.3,281.15,24.001202038030186,20.9952,172.44883717847517,165.0977886669467,1.1000216708716675,5.48208,5.69592,-2.6012283898939375,-14.301026566465348,-23.898069634906637,24.800341,59.479911,16.141878350287698,31.94153561330839,204.39037279178356,4.65202939766414,0.0017006402176579464,0.022180955098982172
2024-10-12T12:04:19+03:00,25.4,281.15,24.99814860155782,20.39256,173.27962598141488,164.59931538518288,0.0,5.79312,5.598719999999999,-4.400315866604722,-16.701719728063498,-22.998525896551243,24.800349,59.479884,15.33875389139217,34.181992865576916,207.4616188469918,4.792400155823801,0.0016411781384997935,0.023822133237481967
