time,lat,lng,dist,cum_dist,sog,target_speed,cog,vmg,hdg,awa,aws,twa,tws,twd,tack,dpt,ewm_vmg,ewm_tws,pct_target
2023-09-06 14:30:02+00:00,59.47874380275607,24.8184070084244,0.0022134616377994533,0.0022134616377994533,7.968461896078031,7.632355053036444,171.50069092888168,0.2620311291027548,121.0,60.0,16.9,88.11557299003785,14.64374880095697,259.6162639189195,1.0,007.4,0.2620311291027548,14.64374880095697,1.044037107905229
2023-09-06 14:30:09+00:00,59.478506091982126,24.818453527987003,0.014342584972231672,0.016556046610031124,7.376186557147717,7.618618321478261,174.32415067363763,0.5614162288607427,123.0,60.0,17.0,85.63488278529555,14.765261821394684,259.95903345893316,1.0,007.2,0.46162119560808007,14.70606317041221,0.968179037969774
2023-09-06 14:30:10+00:00,59.47847558185458,24.818459898233414,0.0018421123777527897,0.018398158987783915,6.631604559910043,7.575531315153159,173.9471385110977,0.9565374007657962,123.0,59.0,17.0,81.70677400231153,14.72583438286579,255.65391251340924,1.0,007.2,0.7444304556982037,14.712994357950711,0.8753979468931767
2023-09-06 14:30:19+00:00,59.47819855995476,24.818427627906203,0.01666160942806948,0.0350597684158534,6.664643771227792,7.477399295322441,183.38575305162522,1.7609228482164612,122.0,53.0,17.4,74.67947292543138,14.408287790525472,258.06522597705657,1.0,007.4,1.2865597317079411,14.630860440386039,0.8913050524661594
2023-09-06 14:30:20+00:00,59.478166457265615,24.81842058710754,0.001939380793416592,0.03699914920926999,6.981770856299732,7.482354252010324,186.3557435718317,1.9044909838923922,125.0,52.0,17.8,74.17020964888516,14.579500086775267,260.5259532207169,1.0,007.4,1.605491990899916,14.619508533733441,0.9330981427969549
2023-09-06 14:30:55+00:00,59.477179823443294,24.817423224449158,0.010781038214386644,0.04778018742365664,6.468622928631987,7.489154157059163,221.51882040881392,0.9664488451565242,124.0,58.0,16.1,81.4075150268287,13.80856184104878,302.9263354356426,1.0,008.0,1.2808986470302566,14.46644664850125,0.8637321108599109
2023-09-06 14:30:56+00:00,59.47715702466667,24.817393217235804,0.0016465167117677543,0.049426704135424396,5.927460162363915,7.457114165055478,213.76123188984053,1.2205333518108745,,57.0,16.1,78.11712616325994,13.798285432849639,291.87835805310044,1.0,008.1,1.2504783407779694,14.355700240841378,0.794873195067923
2023-09-06 14:31:03+00:00,59.47697446681559,24.81719029136002,0.012586935906204164,0.06201364004162856,6.473281323190713,7.331973313170264,209.4468952291614,0.9184876223747154,122.0,56.0,14.7,81.84282882398385,12.311412166485585,291.2897240531453,1.0,008.2,1.083832019383395,14.052014535528782,0.8828839176982408
2023-09-06 14:31:12+00:00,59.47671303525567,24.816934894770384,0.01752233742767871,0.07953597746930727,7.0089349710714846,7.581095219275966,206.3889856721609,0.6269271854719934,123.0,60.0,16.6,84.86821416509716,14.433878512337639,291.2571998372581,1.0,008.5,0.8549325331185833,14.103652583831076,0.9245280224485658
2023-09-06 14:31:13+00:00,59.47668126784265,24.81691368855536,0.0020139710420988286,0.0815499485114061,7.250295751555783,7.638800995755181,198.72868223924903,0.28981460962077293,124.0,62.0,16.7,87.70911701469782,14.75701907800008,286.4377992539469,1.0,008.5,0.5720973651509598,14.185066319365177,0.9491405464790499
2023-09-06 14:31:18+00:00,59.47652796283364,24.816822996363044,0.009610997996239016,0.09116094650764511,6.919918557292091,7.414936916788205,196.7233393895044,1.1525055946036091,128.0,55.0,15.9,80.41276847904352,13.20900533934889,277.1361078685479,1.0,,0.8624432503290316,14.071886682434217,0.9332403815364443
2023-09-06 14:31:22+00:00,59.476404497399926,24.816718641668558,0.008067084154133049,0.09922803066177815,7.260375738719743,7.38252376714854,203.23280629718104,1.5331419006097597,129.0,52.0,16.3,77.80932944219607,13.140898722886382,281.0421357393771,1.0,008.6,1.1978744678564872,13.970613062089372,0.9834544347866047
2023-09-06 14:31:25+00:00,59.47632419876754,24.81664110906422,0.005369687910721314,0.10459771857249947,6.443625492865577,7.356542741942731,206.1232944815719,1.8926316567082302,129.0,51.0,16.5,72.91910835661155,13.414613199753267,279.0424028381834,1.0,008.7,1.5452954720729124,13.913488761504384,0.8759040379290899
2023-09-06 14:31:27+00:00,59.47627290152013,24.816598277539015,0.003345413276264669,0.10794313184876414,6.021743897276403,7.367659124397456,202.98063033195496,1.4903873279069186,125.0,54.0,15.8,75.67031965836709,13.192931602866189,278.65094999032203,1.0,009.0,1.5178397242240556,13.843166492508598,0.817321186499501
2023-09-06 14:31:35+00:00,59.476031083613634,24.816390238702297,0.015844364986559032,0.12378749683532317,7.129964243951565,7.4748415865025315,203.60300340297033,0.6346035572680296,123.0,58.0,15.7,84.89362314353447,13.367408139444318,288.4966265465048,1.0,009.4,1.0762081632203773,13.798844657297492,0.9538615850837938
2023-09-06 14:31:44+00:00,59.47577099315822,24.816143307834864,0.01733666206023116,0.14112415889555432,6.934664824092464,7.461668653045448,205.7436050139543,0.8897051256041553,125.0,57.0,15.9,82.62873621932654,13.44598456788534,288.37234123328085,1.0,009.2,0.9829552214852989,13.76733216423389,0.9293718532063348
2023-09-06 14:31:46+00:00,59.47571869008243,24.81608346104622,0.00363210207595166,0.14475626097150598,6.537783736712988,7.449788777163747,210.16339504871158,0.8472120646425174,123.0,58.0,15.6,82.55427020774579,13.342049794046504,292.7176652564574,1.0,009.3,0.9150831252409082,13.730788322274094,0.8775797451806446
