time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist
2024-06-29 10:46:53+00:00,59.631568947806954,24.578451812267303,7.01469933338043,357.5511745008489,323.0,92.0,17.9,-1.0,61.7,7.0,113.12453120713269,19.451996966574754,244.4266432937162,-2.754889200053007,0.01169116555563405,16.567172772842028
2024-06-29 10:46:56+00:00,59.6316700335592,24.578438233584166,7.299867031102646,356.10830085738667,,87.0,16.1,-1.0,61.7,7.1,111.88149689556337,17.32617075059762,244.2268039618233,-2.7205737755814288,0.006083222525918872,16.578863938397664
2024-06-29 10:47:03+00:00,59.63190573267639,24.578425073996186,7.280814346825197,358.3804075722783,327.0,90.0,15.9,-1.0,62.0,7.1,114.6036521750449,17.48771733397288,243.7767553972334,-3.031285132334227,0.014157139007715662,16.584947160923583
2024-06-29 10:47:07+00:00,59.6320381667465,24.57840420305729,7.178949038061796,355.4369200879576,322.0,90.0,16.2,-1.0,62.0,7.3,113.90028728602897,17.719404879709938,241.53663280192865,-2.9085237140273534,0.007976610042290885,16.599104299931298
2024-06-29 10:47:09+00:00,59.63210522197187,24.578382996842265,7.338894521828506,350.9010251747814,319.0,86.0,15.9,-1.0,62.0,7.4,111.44321117908257,17.04082823651475,239.45781399569884,-2.6829447054981967,0.004077163623238059,16.60708090997359
2024-06-29 10:47:10+00:00,59.6321383304894,24.57838274538517,7.156324761545141,359.77962816491333,319.0,87.0,15.7,-1.0,62.0,,112.00041360293962,16.909838697216355,247.77921456197373,-2.680854338176062,0.001987867989318095,16.611158073596826
2024-06-29 10:47:26+00:00,59.63267804123461,24.57837000489235,7.395234966938091,358.2493151954955,,92.0,19.0,-1.0,62.3,7.6,112.99544090371997,20.627576672824492,245.25387429177556,-2.8890068256659904,0.016433855482084647,16.629124666540104
2024-06-29 10:47:33+00:00,59.632924972102046,24.57835977897048,7.626400350737812,358.79860091122674,320.0,91.0,17.9,-1.0,61.9,7.3,113.92091777469233,19.578992003949068,244.87768313653442,-3.0923172698577095,0.014829111793101302,16.64555852202219
2024-06-29 10:47:39+00:00,59.63313317857683,24.57834410481155,7.464314035345154,0.21127262597389063,,90.0,15.4,-1.0,61.6,7.2,115.85926938624081,17.113619839713945,244.35200323973308,-3.2556516119959555,0.008293682261494616,16.66462519022495
2024-06-29 10:47:47+00:00,59.63339813053608,24.578344440087676,7.1585381178761915,0.036715813982084455,329.0,91.0,15.9,-1.0,61.7,7.0,115.06766248548541,17.550713950637427,244.96905332849667,-3.0329885286039593,0.015907862484169314,16.672918872486445
2024-06-29 10:47:56+00:00,59.63369820266962,24.578307224437594,7.220747707537103,356.40628420846974,321.0,87.0,17.2,-1.0,61.7,7.2,110.20256856768158,18.302439032416828,246.20371564078818,-2.4936149720145817,0.018051869268842755,16.688826734970615
2024-06-29 10:48:02+00:00,59.63390305638313,24.578304961323738,7.379831874238466,359.6794696188003,319.0,91.0,16.7,-1.0,61.9,7.1,114.67539754736819,18.375355753217793,245.0040720714321,-3.08090953639123,0.012299719790397444,16.706878604239456
