time,dpt,mtw,awa,aws,cog,hdg,rot,sog,stw,pitch,yaw,roll,lng,lat,tws,twa,twd,vmg,dist,cum_dist
2026-07-14T11:04:37+03:00,7.83,293.59,54.00127219108009,13.608,268.99795523597015,269.3302707571461,-0.4615175039778781,6.24024,7.52328,-0.1546986046853223,,-12.79987714322259,23.441692,58.557355,11.148774415905523,80.92691434067358,349.92486957664374,0.9840497684815841,0.003263122230613139,0.003263122230613139
2026-07-14T11:04:39+03:00,7.68,293.58,56.00089489608667,13.5108,273.99987678746226,268.93492987850584,0.7334432735469668,6.14304,6.76512,-0.6302535746439055,,-8.846468356819912,23.441579,58.55736,11.28971697121904,82.81559243232543,356.8154692197877,0.7682684584738406,0.0035558243403537157,0.006818946570966855
2026-07-14T11:04:41+03:00,7.68,293.59,52.99859604960115,13.608,272.99720064598336,269.2672453996817,-0.899944808811984,6.18192,6.9984,-0.2807493196141034,,-7.643256987045181,23.441469,58.557364,11.051554331528687,79.53237626540412,352.5295769113875,1.1231305220138992,0.003457405749366383,0.010276352320333238
2026-07-14T11:04:43+03:00,7.53,293.6,50.002026781066945,13.19976,273.99987678746226,265.54874930928264,-2.6699833253096363,5.96808,6.492959999999999,-0.10886198107485642,,-10.508045962699299,23.44136,58.557367,10.420262272976942,76.02654820409364,350.0264249915559,1.4411258827649982,0.0034224343106110575,0.013698786630944296
2026-07-14T11:04:45+03:00,7.53,293.6,46.99972793458143,12.908159999999999,263.9960336844781,265.090383073178,2.476495477893957,5.7348,6.9984,-0.10313240312354818,,-13.928603999630313,23.441258,58.557362,9.926589428920726,71.99330002056593,335.98933370504403,1.7727884338954618,0.0032122865044075448,0.01691107313535184
2026-07-14T11:04:47+03:00,7.38,293.6,46.00278137105379,13.296959999999999,263.9960336844781,266.74050152315476,-0.6159869255451481,6.0652800000000004,6.7068,-0.6187944187412892,,-15.641747807071475,23.441143,58.557355,10.077415450836456,71.6588678000458,335.6549014845239,1.9085856776525822,0.0036302758756948093,0.02054134901104665
2026-07-14T11:04:49+03:00,7.35,293.61,46.99972793458143,13.9968,267.99527909449125,267.72598893077975,1.0172292694752634,6.2208000000000006,7.07616,-0.21772396214971285,,-17.744502915201593,23.441033,58.557352,10.76304787000352,72.0051575811722,340.0004366756634,1.9218003416721372,0.0034537472005543354,0.023995096211600987
2026-07-14T11:04:51+03:00,6.41,293.59,48.00240407606037,14.502239999999999,269.9949017994978,269.7256116357864,-1.9539006729551336,6.1236,7.095599999999999,-0.12032113697747288,,-14.71355617895954,23.440932,58.557351,11.356648551070114,71.6259168535395,341.6208186530373,1.93027993901184,0.0031674132338988187,0.027162509445499805
2026-07-14T11:04:53+03:00,6.37,293.6,52.00164948607352,15.007679999999999,275.99949949246883,267.34210720804214,0.346639466054148,6.37632,7.52328,0.045836623610465865,,-15.309432285895596,23.440819,58.557356,12.168086217189606,76.39147136283992,352.39097085530875,1.5002638623427251,0.003555824743526094,0.0307183341890259
2026-07-14T11:04:55+03:00,6.93,293.6,52.00164948607352,14.502239999999999,269.9949017994978,270.8657976480967,4.811756859288167,6.24024,7.23168,-0.26929016371148695,,-10.101245928156414,23.440709,58.557356,11.740019982685558,76.76461844214393,346.7595202416418,1.4287156502126317,0.003449036327735851,0.03416737051676175
