time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist,time
2024-08-07 15:24:59+00:00,,,,,233.0,144.0,5.1,1.0,25.8,0.0,,,,,,,2024-08-07 15:24:59+00:00
2024-08-07 15:25:00+00:00,59.47941666666667,24.792683333333336,3.9,246.0,232.0,152.0,5.3,1.0,25.8,0.0,163.82717057123273,8.93314353902298,49.82717057123273,-3.7456609309172237,3755.2812818862626,0.0,2024-08-07 15:25:00+00:00
2024-08-07 15:25:01+00:00,59.47941666666667,24.792650000000002,3.9,247.0,229.0,147.0,5.4,1.0,25.8,0.0,160.76469554952587,8.927194650160892,47.76469554952587,-3.682276846101723,0.0010163820408175107,3755.2812818862626,2024-08-07 15:25:01+00:00
2024-08-07 15:25:02+00:00,59.479400000000005,24.792633333333335,3.5,249.0,234.0,150.0,5.8,1.0,26.0,0.0,161.20872339727902,9.002812415775873,50.208723397279016,-3.3134441015955893,0.0011223235252429185,3755.2822982683033,2024-08-07 15:25:02+00:00
2024-08-07 15:25:03+00:00,59.479400000000005,24.7926,3.3,250.0,230.0,145.0,6.0,1.0,26.0,0.0,157.26981430109612,8.906650377883038,47.26981430109612,-3.043704347510881,0.0010163825422285452,3755.2834205918284,2024-08-07 15:25:03+00:00
2024-08-07 15:25:05+00:00,,,,,,141.0,6.2,1.0,26.0,,,,,,3755.2789591002684,3755.284945165642,2024-08-07 15:25:05+00:00
2024-08-07 15:25:06+00:00,59.479400000000005,24.79256666666667,2.9,251.0,232.0,144.0,6.1,1.0,26.0,0.0,155.41000444820565,8.616439012781651,46.410004448205655,-2.6369954684049475,3755.2787189524824,7510.56390426591,2024-08-07 15:25:06+00:00
2024-08-07 15:25:08+00:00,59.47938333333333,24.79245,3.1,247.0,229.0,145.0,6.2,1.0,26.0,0.0,156.5002628895693,8.918419399336907,43.500262889569285,-2.8428919022489048,0.0010163830437364741,11265.845354118288,2024-08-07 15:25:08+00:00
2024-08-07 15:25:09+00:00,59.47938333333333,24.79243333333333,3.1,246.0,231.0,146.0,5.9,1.0,26.0,,157.56658867108732,8.645588146798541,43.56658867108729,-2.8654033457752877,0.0005081915219167309,11265.846370501331,2024-08-07 15:25:09+00:00
2024-08-07 15:25:10+00:00,,,,,227.0,148.0,6.0,1.0,26.1,0.0,,,,,3755.2759158768154,11265.846878692853,2024-08-07 15:25:10+00:00
2024-08-07 15:25:11+00:00,59.479366666666664,24.792399999999997,2.8,237.0,226.0,148.0,6.0,1.0,26.1,0.0,158.04722051954022,8.504964199269502,35.04722051954025,-2.5969783643915925,3755.2745536848743,15021.122794569668,2024-08-07 15:25:11+00:00
2024-08-07 15:25:12+00:00,59.479366666666664,24.792399999999997,2.8,237.0,229.0,147.0,5.9,1.0,26.2,0.0,157.47489067559638,8.388067451142534,34.474890675596384,-2.5863928621011936,0.0,18776.39734825454,2024-08-07 15:25:12+00:00
2024-08-07 15:25:13+00:00,59.479350000000004,24.792366666666666,2.3,244.0,223.0,146.0,5.9,1.0,26.2,0.0,155.35526599362083,7.912021215792071,39.35526599362083,-2.090494882212737,0.0014263196964519266,18776.39734825454,2024-08-07 15:25:13+00:00
2024-08-07 15:25:14+00:00,59.479350000000004,24.792366666666666,2.4,245.0,226.0,148.0,6.0,1.0,26.2,0.0,156.99399893741938,8.135341736479486,41.993998937419406,-2.209113417333805,0.0,18776.398774574238,2024-08-07 15:25:14+00:00
2024-08-07 15:25:16+00:00,,,,,,144.0,6.1,1.0,26.3,,,,,,3755.272951346552,18776.399282766262,2024-08-07 15:25:16+00:00
2024-08-07 15:25:17+00:00,59.47933333333334,24.79228333333333,3.2,251.0,225.0,143.0,6.4,1.0,26.4,0.0,155.13600112300233,9.160355369282195,46.1360011230023,-2.903386841841774,3755.271108862677,22531.672234112815,2024-08-07 15:25:17+00:00
2024-08-07 15:25:19+00:00,59.47931666666667,24.79216666666667,3.0,246.0,231.0,141.0,6.5,1.0,26.4,0.0,153.06690447180384,9.030985134348404,39.06690447180381,-2.674608128468998,0.0010163850496703473,26286.946073880055,2024-08-07 15:25:19+00:00
2024-08-07 15:25:20+00:00,59.47931666666667,24.79215,2.6,254.0,228.0,143.0,6.5,1.0,26.4,,153.3395312258731,8.718020431244613,47.33953122587309,-2.32357107666325,0.0005081925250291378,26286.947090265105,2024-08-07 15:25:20+00:00
2024-08-07 15:25:21+00:00,,,,,232.0,138.0,6.6,1.0,26.4,0.0,,,,,3755.268305799156,26286.94759845763,2024-08-07 15:25:21+00:00
2024-08-07 15:25:22+00:00,59.47931666666667,24.79211666666667,2.4,256.0,229.0,143.0,6.7,1.0,26.4,0.0,152.5155927469997,8.7369398534682,48.51559274699969,-2.1291275107240475,3755.267825509633,30042.215904256787,2024-08-07 15:25:22+00:00
2024-08-07 15:25:23+00:00,59.47931666666667,24.79211666666667,2.2,261.0,229.0,136.0,6.8,1.0,26.4,0.0,146.33229459643286,8.520718680142682,47.33229459643286,-1.830986798029692,0.0,33797.48372976642,2024-08-07 15:25:23+00:00
2024-08-07 15:25:24+00:00,59.47931666666667,24.792099999999998,1.9,256.0,226.0,140.0,6.8,1.0,26.4,0.0,148.41516356613647,8.345333331281285,44.41516356613647,-1.6185446007850928,0.0005081925249321577,33797.48372976642,2024-08-07 15:25:24+00:00
